,loss
0,0.9268621206283569
1,0.7154214382171631
2,0.44690340757369995
3,0.2985939681529999
4,0.216139018535614
5,0.16490808129310608
6,0.1311447024345398
7,0.10253395885229111
8,0.07770036906003952
9,0.056430716067552567
10,0.03927251324057579
11,0.02810952439904213
12,0.02207234688103199
13,0.018561290577054024
14,0.016632843762636185
15,0.01465519517660141
16,0.01332668773829937
17,0.012298233807086945
18,0.011384066194295883
19,0.01071695052087307
