,loss
0,0.6841723322868347
1,0.6575138568878174
2,0.6384965181350708
3,0.6229335069656372
4,0.6002709269523621
5,0.5698930025100708
6,0.5393508672714233
7,0.5255085825920105
8,0.5211356282234192
9,0.5155944228172302
10,0.5118175745010376
11,0.5070065855979919
12,0.5045776963233948
13,0.5010994076728821
14,0.4973679780960083
