datetime,mains,activity_pred
2016-03-08 20:18:00,-0.16153771102734016,1
2016-03-08 20:19:30,-0.1484370147110993,1
2016-03-08 20:21:00,-0.15280391348317957,1
2016-03-08 20:22:30,-0.36241505454303335,1
2016-03-08 19:36:00,0.647430286500533,1
2016-03-08 19:37:30,0.5382578171985258,1
2016-03-08 19:39:00,0.41270947750121756,1
2016-03-08 19:40:30,1.9018219587805953,1
2016-03-08 19:42:00,1.940032323036298,1
2016-03-08 19:43:30,2.0251868490918636,1
2016-03-08 19:45:00,2.032828921943004,1
2016-03-08 19:46:30,2.2686414556353394,1
2016-03-08 19:48:00,2.242440063002858,1
2016-03-08 19:49:30,2.006627529310522,1
2016-03-08 19:51:00,2.023003399705823,1
2016-03-08 19:52:30,1.942215772422338,1
2016-03-08 19:54:00,2.1026993022962883,1
2016-03-08 19:55:30,3.8854857259980657,1
2016-03-08 19:57:00,3.893127798849206,1
2016-03-08 19:58:30,2.052479966417365,1
2016-03-08 20:00:00,2.043746168873205,1
2016-03-08 20:01:30,-0.0632824886555337,1
2016-03-08 20:03:00,-0.1713632332645208,1
2016-03-08 20:04:30,-0.189922553045862,1
2016-03-08 20:06:00,-0.1866473789668018,1
2016-03-08 20:07:30,-0.23905016423176523,1
2016-03-08 20:09:00,-0.015246602162650542,1
2016-03-08 20:10:30,-0.016338326855670614,1
2016-03-08 20:12:00,-0.4650371756869201,1
2016-03-08 20:13:30,-0.4257350867381975,1
2016-03-08 20:15:00,-0.12987769492975806,1
2016-03-08 20:16:30,-0.1669963344924405,1
2016-03-08 20:18:00,-0.16153771102734016,1
2016-03-08 20:19:30,-0.1484370147110993,1
2016-03-08 20:21:00,-0.15280391348317957,1
2016-03-08 20:22:30,-0.36241505454303335,1
2016-03-08 20:24:00,-0.37442402616625414,1
2016-03-08 20:25:30,-0.4901468436263817,1
2016-03-08 20:27:00,-0.3558647063849129,1
2016-03-08 20:28:30,-0.3645985039290735,1
2016-03-08 20:30:00,-0.35804815577095306,1
2016-03-08 20:31:30,-0.3602316051569932,1
2016-03-08 20:33:00,-0.37333230147323404,1
2016-03-08 20:34:30,-0.24123361361780538,1
2016-03-08 19:48:00,2.242440063002858,1
2016-03-08 19:49:30,2.006627529310522,1
2016-03-08 19:51:00,2.023003399705823,1
2016-03-08 19:52:30,1.942215772422338,1
2016-03-08 19:54:00,2.1026993022962883,1
2016-03-08 19:55:30,3.8854857259980657,1
2016-03-08 19:57:00,3.893127798849206,1
2016-03-08 19:58:30,2.052479966417365,1
2016-03-08 20:00:00,2.043746168873205,1
2016-03-08 20:01:30,-0.0632824886555337,1
2016-03-08 20:03:00,-0.1713632332645208,1
2016-03-08 20:04:30,-0.189922553045862,1
2016-03-08 20:06:00,-0.1866473789668018,1
2016-03-08 20:07:30,-0.23905016423176523,1
2016-03-08 20:09:00,-0.015246602162650542,1
2016-03-08 20:10:30,-0.016338326855670614,1
2016-03-08 20:12:00,-0.4650371756869201,1
2016-03-08 20:13:30,-0.4257350867381975,1
2016-03-08 20:15:00,-0.12987769492975806,1
2016-03-08 20:16:30,-0.1669963344924405,1
2016-03-08 20:18:00,-0.16153771102734016,1
2016-03-08 20:19:30,-0.1484370147110993,1
2016-03-08 20:21:00,-0.15280391348317957,1
2016-03-08 20:22:30,-0.36241505454303335,1
2016-03-08 20:24:00,-0.37442402616625414,1
2016-03-08 20:25:30,-0.4901468436263817,1
2016-03-08 20:27:00,-0.3558647063849129,1
2016-03-08 20:28:30,-0.3645985039290735,1
2016-03-08 20:30:00,-0.35804815577095306,1
2016-03-08 20:31:30,-0.3602316051569932,1
2016-03-08 20:33:00,-0.37333230147323404,1
2016-03-08 20:34:30,-0.24123361361780538,1
2016-03-08 20:36:00,0.16161279810660106,1
2016-03-08 20:37:30,-0.1822804801947215,1
2016-03-08 20:39:00,-0.2936363988827688,1
2016-03-08 20:40:30,0.8548579781743466,1
2016-03-08 20:42:00,1.8559695216737524,1
2016-03-08 20:43:30,1.7828239672414075,1
2016-03-08 20:45:00,1.8417771006644914,1
2016-03-08 20:46:30,1.8603364204458326,1
2016-03-08 20:00:00,2.043746168873205,1
2016-03-08 20:01:30,-0.0632824886555337,1
2016-03-08 20:03:00,-0.1713632332645208,1
2016-03-08 20:04:30,-0.189922553045862,1
2016-03-08 20:06:00,-0.1866473789668018,1
2016-03-08 20:07:30,-0.23905016423176523,1
2016-03-08 20:09:00,-0.015246602162650542,1
2016-03-08 20:10:30,-0.016338326855670614,1
2016-03-08 20:12:00,-0.4650371756869201,1
2016-03-08 20:13:30,-0.4257350867381975,1
2016-03-08 20:15:00,-0.12987769492975806,1
2016-03-08 20:16:30,-0.1669963344924405,1
2016-03-08 20:18:00,-0.16153771102734016,1
2016-03-08 20:19:30,-0.1484370147110993,1
2016-03-08 20:21:00,-0.15280391348317957,1
2016-03-08 20:22:30,-0.36241505454303335,1
2016-03-08 20:24:00,-0.37442402616625414,1
2016-03-08 20:25:30,-0.4901468436263817,1
2016-03-08 20:27:00,-0.3558647063849129,1
2016-03-08 20:28:30,-0.3645985039290735,1
2016-03-08 20:30:00,-0.35804815577095306,1
2016-03-08 20:31:30,-0.3602316051569932,1
2016-03-08 20:33:00,-0.37333230147323404,1
2016-03-08 20:34:30,-0.24123361361780538,1
2016-03-08 20:36:00,0.16161279810660106,1
2016-03-08 20:37:30,-0.1822804801947215,1
2016-03-08 20:39:00,-0.2936363988827688,1
2016-03-08 20:40:30,0.8548579781743466,1
2016-03-08 20:42:00,1.8559695216737524,1
2016-03-08 20:43:30,1.7828239672414075,1
2016-03-08 20:45:00,1.8417771006644914,1
2016-03-08 20:46:30,1.8603364204458326,1
2016-03-08 20:48:00,1.836318477199391,1
2016-03-08 20:49:30,1.864703319217913,1
2016-03-08 20:51:00,1.8679784932969732,1
2016-03-08 20:52:30,1.864703319217913,1
2016-03-08 20:54:00,1.7249625585113437,1
2016-03-08 20:55:30,1.8996385093945551,1
2016-03-08 20:57:00,1.8701619426830132,1
2016-03-08 20:58:30,1.8876295377713344,1
2016-03-08 20:12:00,-0.4650371756869201,1
2016-03-08 20:13:30,-0.4257350867381975,1
2016-03-08 20:15:00,-0.12987769492975806,1
2016-03-08 20:16:30,-0.1669963344924405,1
2016-03-08 20:18:00,-0.16153771102734016,1
2016-03-08 20:19:30,-0.1484370147110993,1
2016-03-08 20:21:00,-0.15280391348317957,1
2016-03-08 20:22:30,-0.36241505454303335,1
2016-03-08 20:24:00,-0.37442402616625414,1
2016-03-08 20:25:30,-0.4901468436263817,1
2016-03-08 20:27:00,-0.3558647063849129,1
2016-03-08 20:28:30,-0.3645985039290735,1
2016-03-08 20:30:00,-0.35804815577095306,1
2016-03-08 20:31:30,-0.3602316051569932,1
2016-03-08 20:33:00,-0.37333230147323404,1
2016-03-08 20:34:30,-0.24123361361780538,1
2016-03-08 20:36:00,0.16161279810660106,1
2016-03-08 20:37:30,-0.1822804801947215,1
2016-03-08 20:39:00,-0.2936363988827688,1
2016-03-08 20:40:30,0.8548579781743466,1
2016-03-08 20:42:00,1.8559695216737524,1
2016-03-08 20:43:30,1.7828239672414075,1
2016-03-08 20:45:00,1.8417771006644914,1
2016-03-08 20:46:30,1.8603364204458326,1
2016-03-08 20:48:00,1.836318477199391,1
2016-03-08 20:49:30,1.864703319217913,1
2016-03-08 20:51:00,1.8679784932969732,1
2016-03-08 20:52:30,1.864703319217913,1
